FULL TEXT PREPROCESSING — MANAJEMEN ENERGI  |  Information Retrieval Pipeline,,,,,,,,
DocID,Teks Mentah (Raw Text),Case Folding & Cleaning,Tokenisasi,Stop-word Removal,Stemming – Hasil Akhir,Forward Index (Term: Freq),"Jumlah
Unique Terms","Jumlah
Token Awal"
Doc 1,"Tujuan dari penelitian ini adalah untuk mengeksplorasi dampak Akuntansi hijau terhadap kinerja lingkungan, dengan manajemen energi sebagai mediatornya.",tujuan dari penelitian ini adalah untuk mengeksplorasi dampak akuntansi hijau terhadap kinerja lingkungan dengan manajemen energi sebagai mediatornya,"[tujuan, dari, penelitian, ini, adalah, untuk, mengeksplorasi, dampak, akuntansi, hijau, terhadap, kinerja, lingkungan, dengan, manajemen, energi, sebagai, mediatornya]","[tujuan, penelitian, mengeksplorasi, akuntansi, hijau, kinerja, lingkungan, manajemen, energi, mediatornya]","[tuju, peneliti, mengeksplorasi, akuntansi, hijau, kinerja, lingkungan, manajemen, energi, mediasi]","akuntansi:1, energi:1, hijau:1, kinerja:1, lingkungan:1, manajemen:1, mediasi:1, mengeksplorasi:1, peneliti:1, tuju:1",10,18
Doc 2,"Penelitian sebelumnya menunjukkan bahwa ketika efisiensi energi dianggap strategis, perusahaan cenderung memiliki tingkat manajemen energi yang tinggi.",penelitian sebelumnya menunjukkan bahwa ketika efisiensi energi dianggap strategis perusahaan cenderung memiliki tingkat manajemen energi yang tinggi,"[penelitian, sebelumnya, menunjukkan, bahwa, ketika, efisiensi, energi, dianggap, strategis, perusahaan, cenderung, memiliki, tingkat, manajemen, energi, yang, tinggi]","[penelitian, sebelumnya, efisiensi, energi, dianggap, strategis, perusahaan, cenderung, tingkat, manajemen, energi, tinggi]","[peneliti, efisiensi, energi, dianggap, strategi, perusaha, cenderung, tingkat, manajemen, energi, tinggi]","energi:2, cenderung:1, dianggap:1, efisiensi:1, manajemen:1, peneliti:1, perusaha:1, strategi:1, tinggi:1, tingkat:1",10,17
Doc 3,Aspek lain dari manajemen energi telah berkembang dari efisiensi biaya murni menjadi efisiensi kualitas dan produktivitas dan sedang dalam transisi menuju efisiensi kinerja lingkungan.,aspek lain dari manajemen energi telah berkembang dari efisiensi biaya murni menjadi efisiensi kualitas dan produktivitas dan sedang dalam transisi menuju efisiensi kinerja lingkungan,"[aspek, lain, dari, manajemen, energi, telah, berkembang, dari, efisiensi, biaya, murni, menjadi, efisiensi, kualitas, dan, produktivitas, dan, sedang, dalam, transisi, menuju, efisiensi, kinerja, lingkungan]","[aspek, manajemen, energi, efisiensi, biaya, murni, efisiensi, kualitas, produktivitas, transisi, menuju, efisiensi, kinerja, lingkungan]","[aspek, manajemen, energi, efisiensi, biaya, murni, efisiensi, kualitas, produktivitas, transisi, menuju, efisiensi, kinerja, lingkungan]","efisiensi:3, aspek:1, biaya:1, energi:1, kinerja:1, kualitas:1, lingkungan:1, manajemen:1, menuju:1, murni:1, produktivitas:1, transisi:1",12,24
Doc 4,"Di sisi lain, diketahui bahwa sistem manajemen energi mampu menjamin kualitas lingkungan dalam ruangan sekaligus memberikan efisiensi energi.",di sisi lain diketahui bahwa sistem manajemen energi mampu menjamin kualitas lingkungan dalam ruangan sekaligus memberikan efisiensi energi,"[di, sisi, lain, diketahui, bahwa, sistem, manajemen, energi, mampu, menjamin, kualitas, lingkungan, dalam, ruangan, sekaligus, memberikan, efisiensi, energi]","[sisi, sistem, manajemen, energi, mampu, menjamin, kualitas, lingkungan, ruangan, memberikan, efisiensi, energi]","[sisi, sistem, manajemen, energi, mampu, jamin, kualitas, lingkungan, ruang, beri, efisiensi, energi]","energi:2, beri:1, efisiensi:1, jamin:1, kualitas:1, lingkungan:1, mampu:1, manajemen:1, ruang:1, sisi:1, sistem:1",11,18
Doc 5,"Hal ini menunjukkan bahwa sistem manajemen energi membantu menyediakan lingkungan dalam ruangan yang berkualitas, dan meningkatkan kepuasan karyawan atau pelanggan.",hal ini menunjukkan bahwa sistem manajemen energi membantu menyediakan lingkungan dalam ruangan yang berkualitas dan meningkatkan kepuasan karyawan atau pelanggan,"[hal, ini, menunjukkan, bahwa, sistem, manajemen, energi, membantu, menyediakan, lingkungan, dalam, ruangan, yang, berkualitas, dan, meningkatkan, kepuasan, karyawan, atau, pelanggan]","[sistem, manajemen, energi, membantu, menyediakan, lingkungan, ruangan, berkualitas, meningkatkan, kepuasan, karyawan, pelanggan]","[sistem, manajemen, energi, bantu, sedia, lingkungan, ruang, kualitas, tingkat, puas, karyawan, pelanggan]","bantu:1, energi:1, karyawan:1, kualitas:1, lingkungan:1, manajemen:1, pelanggan:1, puas:1, ruang:1, sedia:1, sistem:1, tingkat:1",12,20
Doc 6,Pengaruh antara akuntansi hijau dan kinerja berkelanjutan UMKM dimediasi oleh manajemen energi.,pengaruh antara akuntansi hijau dan kinerja berkelanjutan umkm dimediasi oleh manajemen energi,"[pengaruh, antara, akuntansi, hijau, dan, kinerja, berkelanjutan, umkm, dimediasi, oleh, manajemen, energi]","[pengaruh, akuntansi, hijau, kinerja, berkelanjutan, manajemen, energi]","[pengaruh, akuntansi, hijau, kinerja, manajemen, energi]","akuntansi:1, energi:1, hijau:1, kinerja:1, manajemen:1, pengaruh:1",6,12
Doc 7,Hasil penelitian ini sejalan dengan temuan bahwa manajemen energi dapat memediasi pengaruh akuntansi hijau terhadap kinerja berkelanjutan.,hasil penelitian ini sejalan dengan temuan bahwa manajemen energi dapat memediasi pengaruh akuntansi hijau terhadap kinerja berkelanjutan,"[hasil, penelitian, ini, sejalan, dengan, temuan, bahwa, manajemen, energi, dapat, memediasi, pengaruh, akuntansi, hijau, terhadap, kinerja, berkelanjutan]","[hasil, penelitian, sejalan, temuan, manajemen, energi, memediasi, pengaruh, akuntansi, hijau, kinerja, berkelanjutan]","[hasil, peneliti, sejal, temu, manajemen, energi, mediasi, pengaruh, akuntansi, hijau, kinerja]","akuntansi:1, energi:1, hasil:1, hijau:1, kinerja:1, manajemen:1, mediasi:1, peneliti:1, pengaruh:1, sejal:1, temu:1",11,17
Doc 8,Manajemen energi dapat memediasi pengaruh akuntansi hijau terhadap kinerja lingkungan UMKM.,manajemen energi dapat memediasi pengaruh akuntansi hijau terhadap kinerja lingkungan umkm,"[manajemen, energi, dapat, memediasi, pengaruh, akuntansi, hijau, terhadap, kinerja, lingkungan, umkm]","[manajemen, energi, memediasi, pengaruh, akuntansi, hijau, kinerja, lingkungan]","[manajemen, energi, mediasi, pengaruh, akuntansi, hijau, kinerja, lingkungan]","akuntansi:1, energi:1, hijau:1, kinerja:1, lingkungan:1, manajemen:1, mediasi:1, pengaruh:1",8,11
Doc 9,Hasil penelitian ini menunjukkan bahwa penerapan akuntansi hijau dan manajemen energi menunjukkan keberlangsungan bisnis UMKM.,hasil penelitian ini menunjukkan bahwa penerapan akuntansi hijau dan manajemen energi menunjukkan keberlangsungan bisnis umkm,"[hasil, penelitian, ini, menunjukkan, bahwa, penerapan, akuntansi, hijau, dan, manajemen, energi, menunjukkan, keberlangsungan, bisnis, umkm]","[hasil, penelitian, penerapan, akuntansi, hijau, manajemen, energi, keberlangsungan, bisnis]","[hasil, peneliti, terap, akuntansi, hijau, manajemen, energi, langsung, bisnis]","akuntansi:1, bisnis:1, energi:1, hasil:1, hijau:1, langsung:1, manajemen:1, peneliti:1, terap:1",9,15
Doc 10,Diketahui bahwa sistem manajemen energi mampu menjamin kualitas lingkungan dalam ruangan sekaligus memberikan efisiensi energi.,diketahui bahwa sistem manajemen energi mampu menjamin kualitas lingkungan dalam ruangan sekaligus memberikan efisiensi energi,"[diketahui, bahwa, sistem, manajemen, energi, mampu, menjamin, kualitas, lingkungan, dalam, ruangan, sekaligus, memberikan, efisiensi, energi]","[sistem, manajemen, energi, mampu, menjamin, kualitas, lingkungan, ruangan, memberikan, efisiensi, energi]","[sistem, manajemen, energi, mampu, jamin, kualitas, lingkungan, ruang, beri, efisiensi, energi]","energi:2, beri:1, efisiensi:1, jamin:1, kualitas:1, lingkungan:1, mampu:1, manajemen:1, ruang:1, sistem:1",10,15
Doc 11,"Sistem manajemen energi membantu menyediakan lingkungan dalam ruangan yang berkualitas, yang pada gilirannya meningkatkan kepuasan karyawan dan pelanggan.",sistem manajemen energi membantu menyediakan lingkungan dalam ruangan yang berkualitas yang pada gilirannya meningkatkan kepuasan karyawan dan pelanggan,"[sistem, manajemen, energi, membantu, menyediakan, lingkungan, dalam, ruangan, yang, berkualitas, yang, pada, gilirannya, meningkatkan, kepuasan, karyawan, dan, pelanggan]","[sistem, manajemen, energi, membantu, menyediakan, lingkungan, ruangan, berkualitas, gilirannya, meningkatkan, kepuasan, karyawan, pelanggan]","[sistem, manajemen, energi, bantu, sedia, lingkungan, ruang, kualitas, giliran, tingkat, puas, karyawan, pelanggan]","bantu:1, energi:1, giliran:1, karyawan:1, kualitas:1, lingkungan:1, manajemen:1, pelanggan:1, puas:1, ruang:1, sedia:1, sistem:1, tingkat:1",13,18
Doc 12,"Berdasarkan UMKM di Jawa Timur, akuntansi hijau dan manajemen energi dapat meningkatkan kinerja UMKM secara berkelanjutan.",berdasarkan umkm di jawa timur akuntansi hijau dan manajemen energi dapat meningkatkan kinerja umkm secara berkelanjutan,"[berdasarkan, umkm, di, jawa, timur, akuntansi, hijau, dan, manajemen, energi, dapat, meningkatkan, kinerja, umkm, secara, berkelanjutan]","[akuntansi, hijau, manajemen, energi, meningkatkan, kinerja, berkelanjutan]","[akuntansi, hijau, manajemen, energi, tingkat, kinerja]","akuntansi:1, energi:1, hijau:1, kinerja:1, manajemen:1, tingkat:1",6,16
Doc 13,Edukasi ini dapat dilakukan melalui penyampaian materi dan praktik kepada masyarakat yang sesuai kompetensinya bagaimana cara audit dan memanajemen energi listrik agar efisien sesuai dengan fungsi dan kegunaannya.,edukasi ini dapat dilakukan melalui penyampaian materi dan praktik kepada masyarakat yang sesuai kompetensinya bagaimana cara audit dan memanajemen energi listrik agar efisien sesuai dengan fungsi dan kegunaannya,"[edukasi, ini, dapat, dilakukan, melalui, penyampaian, materi, dan, praktik, kepada, masyarakat, yang, sesuai, kompetensinya, bagaimana, cara, audit, dan, memanajemen, energi, listrik, agar, efisien, sesuai, dengan, fungsi, dan, kegunaannya]","[edukasi, penyampaian, praktik, masyarakat, kompetensinya, audit, energi, listrik, efisien, kegunaannya]","[edukasi, sampaikan, praktik, masyarakat, kompetensi, audit, energi, listrik, efisien, kegunaan]","audit:1, edukasi:1, efisien:1, energi:1, kegunaan:1, kompetensi:1, listrik:1, masyarakat:1, praktik:1, sampaikan:1",10,28
Doc 14,Edukasi ini juga mendorong ketertarikan peserta untuk melakukan inovasi dibidang teknologi khususnya teknologi audit manajemen energi berbasis Internet of Things.,edukasi ini juga mendorong ketertarikan peserta untuk melakukan inovasi dibidang teknologi khususnya teknologi audit manajemen energi berbasis internet of things,"[edukasi, ini, juga, mendorong, ketertarikan, peserta, untuk, melakukan, inovasi, dibidang, teknologi, khususnya, teknologi, audit, manajemen, energi, berbasis, internet, of, things]","[edukasi, mendorong, ketertarikan, peserta, melakukan, inovasi, dibidang, teknologi, khususnya, teknologi, audit, manajemen, energi, berbasis]","[edukasi, dorong, ketertari, peserta, melaku, inovasi, dibidang, teknologi, khusus, teknologi, audit, manajemen, energi, basis]","teknologi:2, audit:1, basis:1, dibidang:1, dorong:1, edukasi:1, energi:1, inovasi:1, ketertari:1, khusus:1, manajemen:1, melaku:1, peserta:1",13,20
